featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Springfield Hospital Heliport,660420,Airport,Brown,Minnesota,441447N,0945818W,1050,Springfield,,01-SEP-1994
Springfield Medical Center,2063738,Hospital,Brown,Minnesota,441448N,0945815W,1050,Springfield,,25-MAR-2005
Springfield Municipal Airport,660421,Airport,Brown,Minnesota,441352N,0945956W,1070,Springfield,,01-SEP-1994
Springfield Police Department,2063727,Building,Brown,Minnesota,441421N,0945835W,1027,Springfield,,25-MAR-2005
Springfield Post Office,2063729,Post Office,Brown,Minnesota,441422N,0945830W,1024,Springfield,,25-MAR-2005
Springfield Post Office (historical),2052217,Post Office,Olmsted,Minnesota,Unknown,Unknown,,Unknown,,04-OCT-2004
Springfield Public Library,2063728,Building,Brown,Minnesota,441327N,0945829W,1027,Springfield,,25-MAR-2005
Springfield Volunteer Fire Department,2666389,Building,Brown,Minnesota,441421N,0945830W,1027,Springfield,,19-MAR-2011
Township of Springfield,665671,Civil,Cottonwood,Minnesota,435329N,0951651W,1447,Heron Lake NE,,01-SEP-1995
City of Springfield,2395942,Civil,Greene,Missouri,371140N,0931729W,1293,Springfield,,27-FEB-2008
Doctors Hospital of Springfield,2655101,Hospital,Greene,Missouri,371455N,0931622W,1293,Springfield,,11-JAN-2011
Drury University,717059,School,Greene,Missouri,371311N,0931704W,1319,Springfield,,24-OCT-1980
KDEB-TV (Springfield),759316,Tower,Webster,Missouri,371140N,0925605W,1529,Fordland,,01-AUG-1991
KGBX-AM (Springfield),759246,Tower,Greene,Missouri,371146N,0931922W,1247,Springfield,,01-AUG-1991
KICK-AM (Springfield),759234,Tower,Greene,Missouri,371230N,0931733W,1309,Springfield,,01-AUG-1991
KLFJ-AM (Springfield),759274,Tower,Greene,Missouri,371145N,0931908W,1227,Springfield,,01-AUG-1991
KMTC-TV (Springfield),742166,Tower,Webster,Missouri,371141N,0925608W,1545,Fordland,,01-DEC-1989
KOLR-TV (Springfield),759301,Tower,Webster,Missouri,371308N,0925657W,1581,Fordland,,01-AUG-1991
KOZK-TV (Springfield),759311,Tower,Webster,Missouri,371308N,0925657W,1581,Fordland,,01-AUG-1991
KSMU-FM (Springfield),759037,Tower,Greene,Missouri,371016N,0931929W,1250,Springfield,,01-AUG-1991
KSPR-TV (Springfield),754319,Tower,Webster,Missouri,371308N,0925657W,1581,Fordland,,01-AUG-1991
KTOZ-AM (Springfield),759196,Tower,Greene,Missouri,371129N,0931946W,1260,Springfield,,01-AUG-1991
KTTS-AM (Springfield),754280,Tower,Greene,Missouri,371551N,0931905W,1171,Ebenezer,,01-AUG-1991
KTTS-FM (Springfield),759072,Tower,Christian,Missouri,370025N,0930414W,1404,Rogersville,,01-AUG-1991
KTTS-FM (Springfield),759071,Tower,Greene,Missouri,371326N,0931434W,1378,Galloway,,01-AUG-1991
KTXR-FM (Springfield),759124,Tower,Webster,Missouri,371140N,0925605W,1529,Fordland,,01-AUG-1991
KWFC-FM (Springfield),759015,Tower,Greene,Missouri,371423N,0931706W,1283,Springfield,,01-AUG-1991
KWTO-AM (Springfield),754256,Tower,Christian,Missouri,365640N,0931318W,1345,Selmore,,01-AUG-1991
KWTO-AM (Springfield),754255,Tower,Greene,Missouri,370806N,0931637W,1293,Springfield,,01-AUG-1991
KWTO-FM (Springfield),759103,Tower,Christian,Missouri,370406N,0931832W,1240,Nixa,,01-AUG-1991
KXUS-FM (Springfield),759091,Tower,Greene,Missouri,371423N,0931706W,1283,Springfield,,01-AUG-1991
KXUS-FM (Springfield),759092,Tower,Webster,Missouri,371110N,0930124W,1437,Oak Grove Heights,,01-AUG-1991
KYTV-TV (Springfield),759291,Tower,Webster,Missouri,371011N,0925631W,1565,Fordland,,01-AUG-1991
Lake Springfield,726964,Reservoir,Greene,Missouri,370643N,0931549W,1142,Nixa,,24-OCT-1980
Lake Springfield Dam,762852,Dam,Greene,Missouri,370642N,0931549W,1142,Nixa,,01-MAR-1995
Mercy Hospital Springfield,725790,Hospital,Greene,Missouri,371045N,0931631W,1332,Springfield,,24-OCT-1980
Missouri Department of Conservation Forestry Southwest Regional Field Fire Office Springfield,2621719,Building,Greene,Missouri,371437N,0931344W,1388,Galloway,,03-FEB-2011
Missouri Veterans Cemetery - Springfield,2776796,Cemetery,Greene,Missouri,370706N,0931415W,1178,Ozark,,13-APR-2016
Palmyra,736334,Populated Place,Marion,Missouri,394739N,0913124W,640,Palmyra,,24-OCT-1980
Plattsburg,730179,Populated Place,Clinton,Missouri,393356N,0942653W,948,Plattsburg,,24-OCT-1980
Select Specialty Hospital Springfield,2655116,Hospital,Greene,Missouri,370850N,0931601W,1293,Springfield,,11-JAN-2011
Springfield,735864,Populated Place,Greene,Missouri,371255N,0931754W,1299,Springfield,,24-OCT-1980
Springfield Community Hospital Heliport,758951,Airport,Greene,Missouri,370907N,0931646W,1289,Springfield,,01-AUG-1991
Springfield Conservation Nature Center,2093248,Park,Greene,Missouri,370735N,0931427W,1207,Galloway,,13-NOV-2006
Springfield Fire Department Station 1,2621397,Building,Greene,Missouri,371147N,0931705W,1309,Springfield,,03-FEB-2011
Springfield Fire Department Station 10,2621393,Building,Greene,Missouri,370854N,0931508W,1316,Springfield,,03-FEB-2011
Springfield Fire Department Station 11,2621631,Building,Greene,Missouri,370725N,0931619W,1289,Nixa,,03-FEB-2011
Springfield Fire Department Station 12,2621630,Building,Greene,Missouri,371002N,0931305W,1345,Galloway,,03-FEB-2011
Springfield Fire Department Station 2,2620350,Building,Greene,Missouri,371344N,0931749W,1325,Springfield,,04-FEB-2011
Springfield Fire Department Station 3,2621396,Building,Greene,Missouri,371231N,0931455W,1352,Galloway,,03-FEB-2011
Springfield Fire Department Station 4,2621636,Building,Greene,Missouri,371427N,0931558W,1358,Springfield,,03-FEB-2011
Springfield Fire Department Station 5,2621635,Building,Greene,Missouri,371427N,0931952W,1299,Springfield,,04-FEB-2011
Springfield Fire Department Station 6,2621395,Building,Greene,Missouri,370934N,0931947W,1270,Springfield,,03-FEB-2011
Springfield Fire Department Station 7,2621634,Building,Greene,Missouri,371054N,0931516W,1335,Springfield,,03-FEB-2011
Springfield Fire Department Station 8,2621394,Building,Greene,Missouri,371121N,0931954W,1220,Springfield,,03-FEB-2011
Springfield Fire Department Station 9,2621633,Building,Greene,Missouri,370908N,0931751W,1299,Springfield,,03-FEB-2011
Springfield Hollow,752327,Valley,Carter,Missouri,365712N,0911020W,630,Fremont,,24-OCT-1980
Springfield Iron Furnace,737545,Locale,Washington,Missouri,Unknown,Unknown,,Unknown,,01-MAR-1991
Springfield National Cemetery,735865,Cemetery,Greene,Missouri,371023N,0931550W,1332,Springfield,,24-OCT-1980
Springfield Plain,758114,Area,St. Clair,Missouri,364459N,0943730W,1050,Tiff City,,01-APR-1991
Springfield Police Department,2752423,Building,Greene,Missouri,371257N,0931725W,1312,Springfield,,18-MAR-2014
Springfield Post Office,2779548,Post Office,Greene,Missouri,371251N,0931743W,1289,Springfield,,28-APR-2016
Springfield Water Station (historical),732671,Locale,Greene,Missouri,371626N,0931839W,1099,Ebenezer,,01-AUG-1990
Springfield-Branson National Airport,758955,Airport,Greene,Missouri,371424N,0932347W,1257,Brookline,,01-AUG-1991
Township of Springfield,766694,Civil,Greene,Missouri,371140N,0931729W,1293,Springfield,,01-AUG-1991
Township of Springfield,766747,Civil,Henry,Missouri,382457N,0933408W,837,Calhoun East,,01-AUG-1991
West Springfield Post Office,759879,Post Office,Shelby,Missouri,Unknown,Unknown,,Unknown,,01-SEP-1990
Gravel Springs,678168,Locale,Tate,Mississippi,343403N,0895350W,328,Senatobia,,01-DEC-2003
Greater Springfield Missionary Baptist Church,687214,Church,Washington,Mississippi,332322N,0910412W,125,Greenville,,01-DEC-2003
Springfield (historical),705166,Locale,Choctaw,Mississippi,331835N,0891145W,522,Ackerman,,01-DEC-2003
Springfield (historical),686440,Populated Place,Jefferson,Mississippi,314451N,0911125W,154,Church Hill,,01-DEC-2003
Springfield Cemetery,707160,Cemetery,Leake,Mississippi,324106N,0892338W,469,McAfee,,01-DEC-2003
Springfield Cemetery,678169,Cemetery,Monroe,Mississippi,340458N,0882036W,335,Turon,,24-SEP-1980
Springfield Church,678170,Church,Adams,Mississippi,313040N,0911744W,341,Washington,,24-SEP-1980
Springfield Church,678176,Church,Bolivar,Mississippi,333726N,0910406W,138,Scott,,24-SEP-1980
Springfield Church,678171,Church,Copiah,Mississippi,315811N,0901508W,344,Crystal Springs,,24-SEP-1980
Springfield Church,678172,Church,Copiah,Mississippi,320032N,0904154W,161,Utica West,,24-SEP-1980
Springfield Church,678174,Church,Leake,Mississippi,324105N,0892338W,459,McAfee,,24-SEP-1980
Springfield Church,678179,Church,Lincoln,Mississippi,312839N,0902807W,420,Bogue Chitto,,24-SEP-1980
Springfield Church,678175,Church,Lowndes,Mississippi,332346N,0883109W,194,Bent Oak,,24-SEP-1980
Springfield Church,694877,Church,Scott,Mississippi,321559N,0893925W,413,Morton,,24-SEP-1980
Springfield Church,678178,Church,Tate,Mississippi,343405N,0895348W,325,Senatobia,,24-SEP-1980
Springfield Church,678173,Church,Yazoo,Mississippi,323657N,0903447W,128,Phoenix,,24-SEP-1980
Springfield MB Church Cemetery,2044709,Cemetery,Lowndes,Mississippi,Unknown,Unknown,,Unknown,,01-DEC-2003
Springfield Missionary Baptist Church,691617,Church,DeSoto,Mississippi,345917N,0900110W,299,Horn Lake,,24-SEP-1980
Springfield Missionary Baptist Church,678177,Church,Lafayette,Mississippi,342813N,0893110W,449,Oxford North,,24-SEP-1980
Springfield Oil Field,686085,Oilfield,Adams,Mississippi,313016N,0911715W,285,Washington,,01-DEC-2003
Springfield School (historical),1700728,School,Panola,Mississippi,341328N,0900432W,197,Tocowa,,22-NOV-1996
Springhill Church,694879,Church,Franklin,Mississippi,312646N,0910626W,194,Knoxville,,24-SEP-1980
Sulpher Springs (historical),692357,Locale,Madison,Mississippi,324323N,0894750W,338,Farmhaven,,01-DEC-2003
Lincoln,801064,Populated Place,Lewis and Clark,Montana,465718N,1124054W,4541,Lincoln,,04-APR-1980
Silver Lake,1022635,Reservoir,Henderson,North Carolina,352223N,0823718W,2175,Horse Shoe,,17-JUN-1980
Springfield,1022758,Populated Place,Guilford,North Carolina,355558N,0795914W,833,High Point East,,17-JUN-1980
Springfield,1005745,Populated Place,Mecklenburg,North Carolina,350955N,0805402W,656,Charlotte West,,01-NOV-1989
Springfield,1022757,Populated Place,Scotland,North Carolina,344659N,0793158W,197,Gibson,,17-JUN-1980
Springfield (historical),1960025,Populated Place,Wilkes,North Carolina,362122N,0811114W,1572,McGrady,,11-SEP-2002
Springfield Baptist Church,995367,Church,Rockingham,North Carolina,362946N,0794817W,663,Southwest Eden,,01-JAN-2000
Springfield Baptist Church,2455018,Church,Wake,North Carolina,354150N,0783239W,367,Garner,,24-JUN-2008
Springfield Church,995366,Church,Halifax,North Carolina,361946N,0774656W,295,Aurelian Springs,,17-JUN-1980
Springfield Church,1026143,Church,Onslow,North Carolina,344811N,0774011W,62,Lyman,,01-AUG-1995
Springfield Church,995365,Church,Scotland,North Carolina,344636N,0793223W,207,Gibson,,17-JUN-1980
Springfield Memorial Church,995368,Church,Gaston,North Carolina,352049N,0810541W,866,Mount Holly,,17-JUN-1980
Springfield Memorial Church Cemetery,2779105,Cemetery,Gaston,North Carolina,352047N,0810540W,866,Mount Holly,,27-APR-2016
Springfield School,995370,School,Gaston,North Carolina,352053N,0810548W,846,Mount Holly,,17-JUN-1980
Springfield School,995369,School,Onslow,North Carolina,344752N,0774023W,75,Lyman,,17-JUN-1980
Springfield School,995371,School,Wilson,North Carolina,353955N,0780349W,171,Lucama,,17-JUN-1980
Township of Springfield,1759666,Civil,Towner,North Dakota,482452N,0992541W,1526,Hurricane Lake East,,26-AUG-1997
City of Springfield,2395943,Civil,Sarpy,Nebraska,410507N,0960800W,1093,Springfield,,27-FEB-2008
Platford-Springfield Election Precinct (historical),1929149,Civil,Sarpy,Nebraska,410336N,0961110W,1119,Springfield,,23-JUL-2001
Platford-Springfield I Election Precinct,1929147,Civil,Sarpy,Nebraska,410522N,0960829W,1115,Springfield,,23-JUL-2001
Platford-Springfield II Election Precinct,1929148,Civil,Sarpy,Nebraska,410235N,0961228W,1138,Springfield,,23-JUL-2001
Springfield,833737,Populated Place,Sarpy,Nebraska,410455N,0960804W,1066,Springfield,,09-MAR-1979
Springfield City Park,1898275,Park,Sarpy,Nebraska,410459N,0960741W,1145,Springfield,,27-MAR-2001
Springfield Creek,833738,Stream,Sarpy,Nebraska,410246N,0960712W,1004,Cedar Creek,,09-MAR-1979
Springfield Election Precinct,1929308,Civil,Sarpy,Nebraska,410507N,0960800W,1093,Springfield,,23-JUL-2001
Springfield Elementary School,1898280,School,Sarpy,Nebraska,410453N,0960737W,1145,Springfield,,27-MAR-2001
Springfield Memorial Cemetery,833739,Cemetery,Sarpy,Nebraska,410551N,0960815W,1102,Springfield,,09-MAR-1979
Springfield Post Office,1898273,Post Office,Sarpy,Nebraska,410457N,0960801W,1083,Springfield,,27-MAR-2001
Springfield Public Library,1898274,Building,Sarpy,Nebraska,410457N,0960757W,1102,Springfield,,27-MAR-2001
Springfield Quarry,2567324,Mine,Sarpy,Nebraska,410411N,0960437W,1096,Cedar Creek,,25-AUG-2009
Springfield Volunteer Fire and Rescue,2553465,Building,Sarpy,Nebraska,410457N,0960757W,1099,Springfield,,23-JUN-2010
Township of Springfield,1898124,Civil,Sarpy,Nebraska,410500N,0960811W,1053,Springfield,,27-MAR-2001
East Springfield,871173,Populated Place,Sullivan,New Hampshire,432911N,0715842W,1384,New London,,27-AUG-1980
East Springfield Post Office (historical),1917448,Post Office,Sullivan,New Hampshire,Unknown,Unknown,,Unknown,,08-MAY-2001
Milton Leather Board Dam,1775323,Dam,Strafford,New Hampshire,432430N,0705910W,381,Milton,,09-JAN-1998
Springfield,870107,Populated Place,Sullivan,New Hampshire,432942N,0720200W,1450,Sunapee Lake North,,27-AUG-1980
Springfield Junction,871235,Populated Place,Sullivan,New Hampshire,431501N,0722530W,374,Springfield,,27-AUG-1980
Springfield Point,870108,Cape,Carroll,New Hampshire,433354N,0711149W,502,Wolfeboro,,27-AUG-1980
Springfield Point Heliport,873455,Airport,Carroll,New Hampshire,433328N,0711128W,538,Wolfeboro,,01-AUG-1994
Springfield Police Department,2752829,Building,Sullivan,New Hampshire,432935N,0720251W,1398,Sunapee Lake North,,01-APR-2014
Springfield Post Office,2760152,Post Office,Sullivan,New Hampshire,432937N,0720253W,1394,Sunapee Lake North,,05-JAN-2015
Springfield Post Office (historical),1917430,Post Office,Sullivan,New Hampshire,Unknown,Unknown,,Unknown,,08-MAY-2001
Springfield Town Forest,1957599,Forest,Sullivan,New Hampshire,432712N,0720023W,1575,Sunapee Lake North,,27-AUG-2002
Springfield Volunteer Fire and Rescue,2605319,Building,Sullivan,New Hampshire,432937N,0720259W,1394,Sunapee Lake North,,16-JUN-2010
Town of Springfield,873723,Civil,Sullivan,New Hampshire,432934N,0720212W,1407,Sunapee Lake North,,01-SEP-1995
West Springfield,870795,Populated Place,Sullivan,New Hampshire,432955N,0720328W,1296,Sunapee Lake North,,27-AUG-1980
West Springfield Post Office,1917451,Post Office,Sullivan,New Hampshire,Unknown,Unknown,,Unknown,,08-MAY-2001
Springfield,882958,Populated Place,Burlington,New Jersey,400235N,0743844W,118,Columbus,,01-JUL-1981
Springfield,880818,Populated Place,Union,New Jersey,404218N,0741902W,102,Roselle,,08-SEP-1979
Springfield Branch Newark Public Library,2056569,Building,Essex,New Jersey,404410N,0741119W,131,Elizabeth,,01-JUL-1981
Springfield Census Designated Place,2390339,Census,Union,New Jersey,404158N,0741933W,128,Roselle,,19-FEB-2008
Springfield Fire Department,2614002,Building,Union,New Jersey,404221N,0741901W,98,Roselle,,04-FEB-2011
Springfield First Aid Squad,2659989,Building,Union,New Jersey,404233N,0741849W,85,Roselle,,24-JAN-2011
Springfield Police Department,2730653,Building,Union,New Jersey,404232N,0741853W,89,Roselle,,27-FEB-2013
Springfield Station,880819,Locale,Union,New Jersey,404235N,0741901W,89,Roselle,,08-SEP-1979
Springfield Township Elementary School,2373731,School,Burlington,New Jersey,400210N,0744207W,69,Columbus,,22-JAN-2008
Springfield Township Emergency Medical Services,2660027,Building,Burlington,New Jersey,400210N,0744134W,75,Columbus,,24-JAN-2011
Springfield Township Fire Company 1,2401937,Building,Burlington,New Jersey,400214N,0744140W,72,Columbus,,13-MAR-2008
Springfield Township Police Department,2730622,Building,Burlington,New Jersey,400215N,0744203W,75,Columbus,,27-FEB-2013
Township of Springfield,882106,Civil,Burlington,New Jersey,400213N,0744237W,66,Columbus,,08-SEP-1979
Township of Springfield,882213,Civil,Union,New Jersey,404158N,0741931W,128,Roselle,,08-SEP-1979
Cherry Valley - Springfield Elementary School,2597884,School,Otsego,New York,424900N,0744607W,1562,East Springfield,,02-JUN-2010
Cherry Valley - Springfield Junior and Senior High School,2597887,School,Otsego,New York,424902N,0744605W,1578,East Springfield,,02-JUN-2010
East Springfield,949248,Populated Place,Otsego,New York,424951N,0744855W,1322,East Springfield,,23-JAN-1980
Intermediate School 59,954334,School,Queens,New York,404055N,0734512W,23,Jamaica,,23-JAN-1980
Public School 37,961667,School,Queens,New York,404035N,0734532W,26,Jamaica,,23-JAN-1980
Shadow Brook,964905,Stream,Otsego,New York,424713N,0745206W,1191,East Springfield,01-JAN-1902,23-JAN-1980
Springfield,966096,Populated Place,Otsego,New York,425010N,0745113W,1355,East Springfield,,23-JAN-1980
Springfield Baptist Church,2667395,Church,Dutchess,New York,413029N,0735823W,154,Wappingers Falls,,30-MAR-2011
Springfield Cemetery,966097,Cemetery,Otsego,New York,425013N,0745221W,1306,East Springfield,,23-JAN-1980
Springfield Cemetery,959323,Cemetery,Queens,New York,404112N,0734453W,43,Lynbrook,,23-JAN-1980
Springfield Cemetery Chapel,2079410,Church,Queens,New York,404114N,0734455W,36,Lynbrook,,21-NOV-2005
Springfield Center,966098,Populated Place,Otsego,New York,424944N,0745236W,1260,Richfield Springs,,23-JAN-1980
Springfield Center Post Office,2598936,Post Office,Otsego,New York,424942N,0745243W,1240,Richfield Springs,,02-JUN-2010
Springfield Church (historical),2106390,Church,Otsego,New York,425000N,0745002W,1483,East Springfield,,15-FEB-2007
Springfield Four Corners,966099,Populated Place,Otsego,New York,425016N,0745212W,1286,East Springfield,,23-JAN-1980
Springfield Gardens,973407,Populated Place,Queens,New York,404041N,0734447W,30,Lynbrook,,23-JAN-1980
Springfield Gardens Branch Jamaica Post Office,2080438,Post Office,Queens,New York,404040N,0734446W,30,Lynbrook,,08-DEC-2005
Springfield Gardens High School (historical),966100,School,Queens,New York,404005N,0734528W,16,Jamaica,,23-JAN-1980
Springfield Gardens United Methodist Church,2079617,Church,Queens,New York,404040N,0734544W,23,Jamaica,,28-NOV-2005
Springfield Park,966101,Park,Queens,New York,403944N,0734541W,7,Jamaica,,23-JAN-1980
Springfield Volunteer Fire Department Station 1,2735171,Building,Otsego,New York,424953N,0744848W,1339,East Springfield,,02-JUN-2013
Springfield Volunteer Fire Department Station 2,2735172,Building,Otsego,New York,424946N,0745235W,1263,Richfield Springs,,02-JUN-2013
Town of Springfield,979514,Civil,Otsego,New York,425000N,0745143W,1345,East Springfield,,01-SEP-1995
City of Springfield,1085859,Civil,Clark,Ohio,395549N,0834746W,919,Springfield,,17-AUG-1992
East Springfield,1064589,Populated Place,Jefferson,Ohio,402702N,0805137W,1266,Richmond,,12-JUL-1979
East Springfield Census Designated Place,2628890,Census,Jefferson,Ohio,402651N,0805136W,1240,Richmond,,10-JUN-2010
East Springfield Post Office,2014655,Post Office,Jefferson,Ohio,402700N,0805139W,1247,Richmond,,17-AUG-1992
East Springfield Volunteer Fire Department,2549927,Building,Jefferson,Ohio,402658N,0805128W,1286,Richmond,,14-MAY-2009
Edwin Shaw Rehabilitation Institute,1061201,Hospital,Summit,Ohio,410100N,0812549W,1158,Akron East,,17-AUG-1992
Edwin Shaw Sanitarium Cemetery,2504742,Cemetery,Summit,Ohio,410054N,0812601W,1099,Akron East,,19-OCT-2008
Ellet,1064612,Populated Place,Summit,Ohio,410305N,0812607W,1122,Akron East,,12-JUL-1979
Holland,1064849,Populated Place,Lucas,Ohio,413718N,0834242W,636,Maumee,,12-JUL-1979
New Springfield,1056908,Populated Place,Mahoning,Ohio,405502N,0803622W,1211,New Middletown,,12-JUL-1979
New Springfield Cemetery,1043848,Cemetery,Mahoning,Ohio,405537N,0803715W,1207,New Middletown,,12-JUL-1979
New Springfield Elementary School,1051782,School,Mahoning,Ohio,405458N,0803634W,1217,New Middletown,,01-FEB-1991
North High School (historical),1057880,School,Clark,Ohio,395650N,0834754W,1033,Springfield,,12-JUL-1979
North Springfield,1058525,Populated Place,Summit,Ohio,410228N,0812605W,1102,Akron East,,01-DEC-1990
North Springfield Cemetery,1073360,Cemetery,Summit,Ohio,410243N,0812609W,1102,Akron East,,01-AUG-1992
North Springfield Post Office (historical),2056327,Post Office,Summit,Ohio,402225N,0812604W,814,Gnadenhutten,,17-AUG-1992
North Springfield Presbyterian Church,1073359,Church,Summit,Ohio,410243N,0812612W,1096,Akron East,,01-AUG-1992
Ohio State Highway Patrol - Springfield Patrol Post,1083535,Building,Clark,Ohio,395423N,0834345W,1047,New Moorefield,,01-MAY-1994
Old Springfield Cemetery,1963281,Cemetery,Mahoning,Ohio,405639N,0803227W,1237,New Middletown,,11-SEP-2002
Old Springfield United Church of Christ,1056912,Church,Mahoning,Ohio,405642N,0803232W,1217,New Middletown,,12-JUL-1979
Putnam,1067305,Populated Place,Muskingum,Ohio,395520N,0820028W,705,Zanesville West,,01-FEB-1992
Putnam Post Office (historical),2041190,Post Office,Muskingum,Ohio,395520N,0820029W,705,Zanesville West,,17-AUG-1992
Quaker Cemetery,1963055,Cemetery,Clinton,Ohio,392703N,0835614W,886,Clarksville,,11-SEP-2002
Smiley Cemetery,1046356,Cemetery,Hamilton,Ohio,391820N,0843234W,758,Greenhills,,12-JUL-1979
South High School (historical),1058030,School,Clark,Ohio,395458N,0834828W,1020,Springfield,,12-JUL-1979
Springdale,1065369,Populated Place,Hamilton,Ohio,391713N,0842907W,738,Glendale,01-JAN-1891,12-JUL-1979
Springdale Post Office (historical),1990210,Post Office,Hamilton,Ohio,Unknown,Unknown,,Unknown,,17-AUG-1992
Springdale Road Baptist Cemetery,1083452,Cemetery,Hamilton,Ohio,391529N,0843418W,906,Greenhills,,01-OCT-1992
Springfield,1065370,Populated Place,Clark,Ohio,395527N,0834832W,974,Springfield,,12-JUL-1979
Springfield Cemetery,1046591,Cemetery,Jefferson,Ohio,402655N,0805132W,1276,Richmond,,12-JUL-1979
Springfield Cemetery,1051572,Cemetery,Lucas,Ohio,413640N,0834323W,636,Maumee,,01-FEB-1991
Springfield Cemetery,1046592,Cemetery,Portage,Ohio,410130N,0812258W,1204,Akron East,,12-JUL-1979
Springfield Chapel,1046593,Church,Lucas,Ohio,413637N,0834327W,636,Maumee,,12-JUL-1979
Springfield Chapel Cemetery,1046590,Cemetery,Muskingum,Ohio,395627N,0820539W,961,Zanesville West,,12-JUL-1979
Springfield Christian School,1051344,School,Clark,Ohio,395707N,0834734W,1056,Springfield,,01-FEB-1991
Springfield Church,1068224,Church,Clinton,Ohio,392702N,0835612W,879,Clarksville,,12-JUL-1979
Springfield City Hall,1051345,Building,Clark,Ohio,395522N,0834842W,978,Springfield,,01-FEB-1991
Springfield Country Club,1080200,Locale,Clark,Ohio,395718N,0834841W,994,Springfield,,12-JUL-1979
Springfield Elementary School,1081918,School,Muskingum,Ohio,395515N,0820202W,801,Zanesville West,,17-AUG-1992
Springfield Farm (historical),1069246,Locale,Knox,Ohio,402906N,0822729W,1171,Mount Vernon,,01-APR-1992
Springfield Fire Rescue Division Station 3,2549222,Building,Clark,Ohio,395427N,0834735W,1040,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 1 Headquarters,2550171,Building,Clark,Ohio,395544N,0834834W,938,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 4,2549220,Building,Clark,Ohio,395558N,0834705W,958,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 5,2549218,Building,Clark,Ohio,395608N,0835014W,922,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 6,2549215,Building,Clark,Ohio,395501N,0834702W,1030,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 7,2548996,Building,Clark,Ohio,395710N,0834759W,1027,Springfield,,14-MAY-2009
Springfield Fire and Rescue Division Station 8,2548995,Building,Clark,Ohio,395510N,0834929W,994,Springfield,,14-MAY-2009
Springfield Freewill Baptist Church,1060739,Church,Clark,Ohio,395416N,0834700W,1040,Springfield,,01-JUN-1991
Springfield High School,1046594,School,Jefferson,Ohio,403006N,0805339W,932,Bergholz,,12-JUL-1979
Springfield High School,1056529,School,Lucas,Ohio,413657N,0834218W,630,Maumee,,12-JUL-1979
Springfield High School,1051742,School,Mahoning,Ohio,405440N,0803155W,1115,New Middletown,,01-FEB-1991
Springfield Intermediate School,1051744,School,Mahoning,Ohio,405718N,0803253W,1260,New Middletown,,01-FEB-1991
Springfield Junior / Senior High School,1046595,School,Summit,Ohio,410103N,0812453W,1152,Akron East,,12-JUL-1979
Springfield Junior High School,1051584,School,Lucas,Ohio,413653N,0834227W,636,Maumee,,01-FEB-1991
Springfield Lake,1046596,Lake,Summit,Ohio,410142N,0812623W,1073,Akron East,,12-JUL-1979
Springfield Lake Outlet,1066975,Stream,Summit,Ohio,410335N,0812749W,1004,Akron East,,12-JUL-1979
Springfield Landfill,2677751,Locale,Clark,Ohio,395714N,0834534W,1056,Springfield,,08-APR-2011
Springfield Missionary Baptist Church,1060740,Church,Clark,Ohio,395353N,0834614W,1024,Springfield,,01-JUN-1991
Springfield Municipal Court,2732669,Building,Clark,Ohio,395534N,0834833W,948,Springfield,,14-MAR-2013
Springfield Plaza Shopping Center,1075164,Locale,Clark,Ohio,395650N,0835057W,922,Springfield,,01-FEB-1991
Springfield Police Department,2732995,Building,Clark,Ohio,395537N,0834834W,948,Springfield,,14-MAR-2013
Springfield Post Office,1082399,Post Office,Clark,Ohio,395535N,0834828W,945,Springfield,,01-FEB-1991
Springfield Presbyterian Cemetery,1945624,Cemetery,Summit,Ohio,410242N,0812609W,1096,Akron East,,17-AUG-1992
Springfield Regional Medical Center - High Street Campus,1051267,Hospital,Clark,Ohio,395511N,0834607W,1024,Springfield,,01-FEB-1991
Springfield Regional Medical Center Fountain Campus,1057842,Hospital,Clark,Ohio,395629N,0834837W,1027,Springfield,,12-JUL-1979
Springfield Sand and Gravel Pit,2633442,Mine,Clark,Ohio,395405N,0834417W,1037,New Moorefield,,03-SEP-2010
Springfield Shopping Center,1056618,Locale,Clark,Ohio,395423N,0834742W,1024,Springfield,,01-FEB-1991
Springfield Station (historical),1067501,Populated Place,Clark,Ohio,395607N,0835049W,915,Springfield,,01-FEB-1992
Springfield Township Athletic Field,1075109,Park,Hamilton,Ohio,391340N,0843053W,820,Cincinnati West,,01-OCT-1992
Springfield Township Fire Department,2550597,Building,Gallia,Ohio,385537N,0821653W,699,Vinton,,14-MAY-2009
Springfield Township Fire Department,2550307,Building,Richland,Ohio,404539N,0823853W,1378,Crestline,,14-MAY-2009
Springfield Township Fire Department,2550385,Building,Richland,Ohio,404455N,0823525W,1421,Mansfield South,,14-MAY-2009
Springfield Township Fire Department,2549574,Building,Summit,Ohio,410204N,0812628W,1083,Akron East,,14-MAY-2009
Springfield Township Fire Department Station 1,2548998,Building,Lucas,Ohio,413735N,0834213W,636,Sylvania,,14-MAY-2009
