featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Springfield Pike (historical),2742302,Populated Place,Marion,Kentucky,373606N,0851309W,837,Lebanon East,,07-NOV-2012
Springfield Police Department,2767677,Building,Washington,Kentucky,374109N,0851322W,771,Springfield,,11-MAY-2015
Springfield Reservoir,504160,Reservoir,Washington,Kentucky,374008N,0851503W,738,Saint Catharine,,20-SEP-1979
WMQQ-FM (Springfield),518025,Tower,Washington,Kentucky,374143N,0851906W,840,Saint Catharine,,01-SEP-1994
Albany High School,532099,School,Livingston,Louisiana,302958N,0903516W,39,Springfield,,04-JUN-1980
First United Methodist Church of Springfield,552015,Church,Livingston,Louisiana,302545N,0903257W,16,Springfield,,01-JAN-1994
SPRINGFIELD ELEMENTARY SCHOOL,552071,School,Livingston,Louisiana,302543N,0903304W,16,Springfield,,01-JAN-1994
Springfield,556125,Populated Place,Livingston,Louisiana,302545N,0903255W,16,Springfield,,04-JUN-1980
Springfield Baptist Church,556126,Church,Caddo,Louisiana,322233N,0934425W,190,Shreveport East,,04-JUN-1980
Springfield Baptist Church,552074,Church,Livingston,Louisiana,302604N,0904107W,30,Frost,,01-JAN-1994
Springfield Bend,542181,Bend,East Baton Rouge,Louisiana,303246N,0911434W,16,Scotlandville,,01-DEC-1991
Springfield Bend Revetment,542182,Levee,East Baton Rouge,Louisiana,303243N,0911406W,16,Scotlandville,,01-DEC-1991
Springfield Cemetery,539602,Cemetery,Caddo,Louisiana,322208N,0934411W,190,Wallace Lake,,04-JUN-1980
Springfield Cemetery,552073,Cemetery,Livingston,Louisiana,302552N,0903303W,7,Springfield,,01-JAN-1994
Springfield Church,539604,Church,Bienville,Louisiana,322944N,0930246W,302,Sailes,,04-JUN-1980
Springfield Church,539603,Church,Tensas,Louisiana,314626N,0913252W,59,Foules,,04-JUN-1980
Springfield Head Start School,2600265,School,Livingston,Louisiana,302509N,0903356W,13,Springfield,,27-MAY-2010
Springfield High School,552072,School,Livingston,Louisiana,302547N,0903305W,16,Springfield,,01-JAN-1994
Springfield Landing,557735,Locale,East Baton Rouge,Louisiana,303241N,0911405W,36,Scotlandville,,01-FEB-1994
Springfield Middle School,2434800,School,Livingston,Louisiana,302503N,0903337W,16,Springfield,,31-JUL-2008
Springfield Police Department,2334060,Building,Livingston,Louisiana,302545N,0903258W,16,Springfield,,17-OCT-2007
Springfield Post Office,1631830,Post Office,Livingston,Louisiana,Unknown,Unknown,,Unknown,,01-JAN-1994
Springfield School (historical),541021,School,Caddo,Louisiana,322233N,0934422W,190,Shreveport East,,01-SEP-1991
Springfield Volunteer Fire Department,2691732,Building,Livingston,Louisiana,302531N,0903251W,13,Springfield,,30-SEP-2011
Town of Springfield,2407389,Civil,Livingston,Louisiana,302532N,0903240W,13,Springfield,,10-MAR-2008
Agawam-Springfield Seaplane Harbor Base,618997,Airport,Hampden,Massachusetts,420430N,0723526W,62,Springfield South,,01-AUG-1994
Baystate Medical Center,601067,Hospital,Hampden,Massachusetts,420719N,0723610W,118,Springfield South,,27-AUG-2002
Cambridge College at Springfield,1977932,School,Hampden,Massachusetts,420840N,0723208W,197,Springfield North,,16-JAN-2003
City of Springfield,619388,Civil,Hampden,Massachusetts,420656N,0723222W,174,Springfield South,,27-AUG-2002
City of West Springfield Town,618194,Civil,Hampden,Massachusetts,420731N,0723901W,249,Mount Tom,,27-AUG-2002
Downtown Springfield Railroad District,1978010,Park,Hampden,Massachusetts,420615N,0723521W,69,Springfield South,,16-JAN-2003
East Springfield,608998,Populated Place,Hampden,Massachusetts,420830N,0723343W,223,Springfield North,,24-FEB-1974
East Springfield Branch Springfield City Library,1978021,Building,Hampden,Massachusetts,420835N,0723331W,220,Springfield North,,16-JAN-2003
Forest Park Branch Springfield City Library,1978086,Building,Hampden,Massachusetts,420507N,0723351W,184,Springfield South,,16-JAN-2003
Greater Springfield Convention and Visitors Bureau,1978128,Building,Hampden,Massachusetts,420615N,0723523W,69,Springfield South,,16-JAN-2003
Greater Springfield Korean Church,1978129,Church,Hampden,Massachusetts,420453N,0723537W,72,Springfield South,,16-JAN-2003
High School of Commerce,1978154,School,Hampden,Massachusetts,420612N,0723500W,108,Springfield South,,16-JAN-2003
Indian Orchard Branch Springfield City Library,1978188,Building,Hampden,Massachusetts,420933N,0723013W,177,Springfield North,,16-JAN-2003
Liberty Branch Springfield City Library,1978219,Building,Hampden,Massachusetts,420731N,0723503W,207,Springfield North,,16-JAN-2003
Mason Square Branch Springfield City Library,1978256,Building,Hampden,Massachusetts,420637N,0723400W,203,Springfield South,,16-JAN-2003
May Center School-West Springfield School,2341471,School,Hampden,Massachusetts,420610N,0723634W,66,Springfield South,,23-AUG-2007
Mercy Medical Center Springfield Campus,601058,Hospital,Hampden,Massachusetts,420655N,0723535W,105,Springfield South,,27-AUG-2002
Pine Point Branch Springfield City Library,1978348,Building,Hampden,Massachusetts,420731N,0723206W,226,Springfield North,,16-JAN-2003
Saint Marys Church of Springfield,1978411,Church,Hampden,Massachusetts,420840N,0723310W,220,Springfield North,,16-JAN-2003
Shriners Hospital for Children Springfield,601066,Hospital,Hampden,Massachusetts,420717N,0723533W,200,Springfield South,,27-AUG-2002
Sixteen Acres Springfield City Library,1978449,Building,Hampden,Massachusetts,Unknown,Unknown,,Unknown,,16-JAN-2003
Springfield,609092,Populated Place,Hampden,Massachusetts,420605N,0723523W,62,Springfield South,07-OCT-1931,24-FEB-1974
Springfield Adolescent Graduation Experience,2083336,School,Hampden,Massachusetts,420653N,0723556W,75,Springfield South,,26-JAN-2006
Springfield Aqueduct,601253,Canal,Hampden,Massachusetts,420540N,0724315W,194,West Springfield,,27-AUG-2002
Springfield Armory Museum,1978472,Building,Hampden,Massachusetts,420627N,0723453W,190,Springfield South,,16-JAN-2003
Springfield Armory National Historic Site,1888963,Park,Hampden,Massachusetts,420630N,0723452W,194,Springfield South,,06-NOV-2000
Springfield Boys Camp,618533,Locale,Hampden,Massachusetts,420643N,0721048W,659,Wales,,24-FEB-1974
Springfield Cemetery,601031,Cemetery,Hampden,Massachusetts,420612N,0723428W,177,Springfield South,,27-AUG-2002
Springfield Central High School,1977942,School,Hampden,Massachusetts,420752N,0723255W,210,Springfield North,,16-JAN-2003
Springfield Central High School,1978474,School,Hampden,Massachusetts,420700N,0723250W,210,Springfield South,,16-JAN-2003
Springfield Central Library,1978475,Building,Hampden,Massachusetts,420609N,0723508W,89,Springfield South,,16-JAN-2003
Springfield Christian School,1978476,School,Hampden,Massachusetts,420634N,0723417W,200,Springfield South,,16-JAN-2003
Springfield Church of God,1978477,Church,Hampden,Massachusetts,420648N,0723301W,200,Springfield South,,16-JAN-2003
Springfield City Complex,1978479,Building,Hampden,Massachusetts,420605N,0723525W,66,Springfield South,,16-JAN-2003
Springfield City Hall,1978478,Building,Hampden,Massachusetts,420605N,0723526W,66,Springfield South,,16-JAN-2003
Springfield City Library,1978480,Building,Hampden,Massachusetts,420612N,0723506W,102,Springfield South,,16-JAN-2003
Springfield Civic Center,1978481,Building,Hampden,Massachusetts,420610N,0723515W,69,Springfield South,,16-JAN-2003
Springfield College,601027,School,Hampden,Massachusetts,420613N,0723323W,194,Springfield South,,27-AUG-2002
Springfield Country Club,606813,Locale,Hampden,Massachusetts,420723N,0723758W,138,West Springfield,,01-JAN-1992
Springfield Country Club Dam,604912,Dam,Hampden,Massachusetts,420730N,0723758W,121,Mount Tom,,27-AUG-2002
Springfield Fire Department Station 1 Headquarters,1978482,Building,Hampden,Massachusetts,420629N,0723513W,118,Springfield South,,16-JAN-2003
Springfield Fire Department Station 10,2659511,Building,Hampden,Massachusetts,420656N,0723622W,66,Springfield South,,17-JAN-2011
Springfield Fire Department Station 12,2659613,Building,Hampden,Massachusetts,420650N,0722953W,223,Hampden,,17-JAN-2011
Springfield Fire Department Station 16,2659611,Building,Hampden,Massachusetts,420744N,0723149W,230,Springfield North,,17-JAN-2011
Springfield Fire Department Station 3,2659612,Building,Hampden,Massachusetts,420520N,0723305W,197,Springfield South,,17-JAN-2011
Springfield Fire Department Station 5,2659504,Building,Hampden,Massachusetts,420851N,0723011W,236,Springfield North,,17-JAN-2011
Springfield Fire Department Station 8,2659503,Building,Hampden,Massachusetts,420637N,0723348W,203,Springfield South,,17-JAN-2011
Springfield Fire Department Station 9,2659502,Building,Hampden,Massachusetts,420802N,0723419W,210,Springfield North,,17-JAN-2011
Springfield Fire Department Training Center,2659280,Building,Hampden,Massachusetts,420918N,0723210W,125,Springfield North,,17-JAN-2011
